dictionary,hiragana,meaning,type,transitivity,negative,polite,conditional,volitional,te,past,negativePast,passive,causative,potential,imperative
混ざる,まざる,"to blend, to mix",godan,i,混ざらない,混ざります,混ざれば,混ざろう,混ざって,混ざった,混ざらなかった,混ざられる,混ざらせる,混ざれる,混ざれ
目立つ,めだつ,to be outstanding,godan,i,目立たない,目立ちます,目立てば,目立とう,目立って,目立った,目立たなかった,目立たれる,目立たせる,目立てる,目立て
目指す,めざす,to aim,godan,t,目指さない,目指します,目指せば,目指そう,目指して,目指した,目指さなかった,目指される,目指させる,目指せる,目指せ
乱す,みだす,"to disturb, to corrupt",godan,t,乱さない,乱します,乱せば,乱そう,乱して,乱した,乱さなかった,乱される,乱させる,乱せる,乱せ
磨く,みがく,"to polish, to brush",godan,i,磨かない,磨きます,磨けば,磨こう,磨いて,磨いた,磨かなかった,磨かれる,磨かせる,磨ける,磨け
見張る,みはる,"to keep watch, to stand guard",godan,"i,t",見張らない,見張ります,見張れば,見張ろう,見張って,見張った,見張らなかった,見張られる,見張らせる,見張れる,見張れ
実る,みのる,"to bearfruit, to ripen",godan,i,実らない,実ります,実れば,実ろう,実って,実った,実らなかった,実られる,実らせる,実れる,実れ
見送る,みおくる,to see off,godan,t,見送らない,見送ります,見送れば,見送ろう,見送って,見送った,見送らなかった,見送られる,見送らせる,見送れる,見送れ
満たす,みたす,"to fill, to satisfy (a need)",godan,t,満たさない,満たします,満たせば,満たそう,満たして,満たした,満たさなかった,満たされる,満たさせる,満たせる,満たせ
見付かる,みつかる,"to be found, to be discovered",godan,i,見付からない,見付かります,見付かれば,見付かろう,見付かって,見付かった,見付からなかった,見付かられる,見付からせる,見付かれる,見付かれ
戻る,もどる,to return,godan,i,戻らない,戻ります,戻れば,戻ろう,戻って,戻った,戻らなかった,戻られる,戻らせる,戻れる,戻れ
戻す,もどす,"to return, to give back",godan,t,戻さない,戻します,戻せば,戻そう,戻して,戻した,戻さなかった,戻される,戻させる,戻せる,戻せ
もがく,もがく,to struggle,godan,i,もがかない,もがきます,もがけば,もがこう,もがいて,もがいた,もがかなかった,もがかれる,もがかせる,もがける,もがけ
潜る,もぐる,to dive,godan,t,潜らない,潜ります,潜れば,潜ろう,潜って,潜った,潜らなかった,潜られる,潜らせる,潜れる,潜れ
もうかる,もうかる,to make a profit,godan,i,もうからない,もうかります,もうかれば,もうかろう,もうかって,もうかった,もうからなかった,もうかられる,もうからせる,もうかれる,もうかれ
もむ,もむ,to massage,godan,t,もまない,もみます,もめば,ももう,もんで,もんだ,もまなかった,もまれる,もませる,もめる,もめ
漏らす,もらす,to let leak out,godan,t,漏らさない,漏らします,漏らせば,漏らそう,漏らして,漏らした,漏らさなかった,漏らされる,漏らさせる,漏らせる,漏らせ
もらう,もらう,"to get, to receive",godan,t,もらわない,もらいます,もらえば,もらおう,もらって,もらった,もらわなかった,もらわれる,もらわせる,もらえる,もらえ
申し込む,もうしこむ,"to apply, to propose",godan,i,申し込まない,申し込みます,申し込めば,申し込もう,申し込んで,申し込んだ,申し込まなかった,申し込まれる,申し込ませる,申し込める,申し込め
持つ,もつ,"to have, to hold, to own",godan,i,持たない,持ちます,持てば,持とう,持って,持った,持たなかった,持たれる,持たせる,持てる,持て
持って行く,もっていく,to take (a thing),godan,i,持って行かない,持って行きます,持って行けば,持って行こう,持って行って,持って行った,持って行かなかった,持って行かれる,持って行かせる,持って行ける,持って行け
燃やす,もやす,to burn,godan,t,燃やさない,燃やします,燃やせば,燃やそう,燃やして,燃やした,燃やさなかった,燃やされる,燃やさせる,燃やせる,燃やせ
向く,むく,to face,godan,i,向かない,向きます,向けば,向こう,向いて,向いた,向かなかった,向かれる,向かせる,向ける,向け
むく,むく,to peel,godan,t,むかない,むきます,むけば,むこう,むいて,むいた,むかなかった,むかれる,むかせる,むける,むけ
蒸す,むす,to steam,godan,t,蒸さない,蒸します,蒸せば,蒸そう,蒸して,蒸した,蒸さなかった,蒸される,蒸させる,蒸せる,蒸せ
結ぶ,むすぶ,"to tie, to contract",godan,t,結ばない,結びます,結べば,結ぼう,結んで,結んだ,結ばなかった,結ばれる,結ばせる,結べる,結べ
流す,ながす,"to drain, to float",godan,t,流さない,流します,流せば,流そう,流して,流した,流さなかった,流される,流させる,流せる,流せ
泣く,なく,"to cry, to weep",godan,i,泣かない,泣きます,泣けば,泣こう,泣いて,泣いた,泣かなかった,泣かれる,泣かせる,泣ける,泣け
鳴く,なく,"to cry, to sing",godan,i,鳴かない,鳴きます,鳴けば,鳴こう,鳴いて,鳴いた,鳴かなかった,鳴かれる,鳴かせる,鳴ける,鳴け
亡くなる,なくなる,"to die, to pass away",godan,i,亡くならない,亡くなります,亡くなれば,亡くなろう,亡くなって,亡くなった,亡くならなかった,亡くなられる,亡くならせる,亡くなれる,亡くなれ
無くなる,なくなる,"to be missing, to run out",godan,i,無くならない,無くなります,無くなれば,無くなろう,無くなって,無くなった,無くならなかった,無くなられる,無くならせる,無くなれる,無くなれ
治る,なおる,"to get well, to recover",godan,i,治らない,治ります,治れば,治ろう,治って,治った,治らなかった,治られる,治らせる,治れる,治れ
直る,なおる,"to be fixed, to get repaired",godan,i,直らない,直ります,直れば,直ろう,直って,直った,直らなかった,直られる,直らせる,直れる,直れ
治す,なおす,to cure,godan,t,治さない,治します,治せば,治そう,治して,治した,治さなかった,治される,治させる,治せる,治せ
直す,なおす,"to correct, to fix, to repair",godan,t,直さない,直します,直せば,直そう,直して,直した,直さなかった,直される,直させる,直せる,直せ
並ぶ,ならぶ,"to line up, to stand in line",godan,i,並ばない,並びます,並べば,並ぼう,並んで,並んだ,並ばなかった,並ばれる,並ばせる,並べる,並べ
慣らす,ならす,"to accustom, to tame",godan,t,慣らさない,慣らします,慣らせば,慣らそう,慣らして,慣らした,慣らさなかった,慣らされる,慣らさせる,慣らせる,慣らせ
鳴らす,ならす,"to ring, to sound",godan,t,鳴らさない,鳴らします,鳴らせば,鳴らそう,鳴らして,鳴らした,鳴らさなかった,鳴らされる,鳴らさせる,鳴らせる,鳴らせ
習う,ならう,to learn,godan,t,習わない,習います,習えば,習おう,習って,習った,習わなかった,習われる,習わせる,習える,習え
なる,なる,to become,godan,i,ならない,なります,なれば,なろう,なって,なった,ならなかった,なられる,ならせる,なれる,なれ
鳴る,なる,"to ring, to sound",godan,i,鳴らない,鳴ります,鳴れば,鳴ろう,鳴って,鳴った,鳴らなかった,鳴られる,鳴らせる,鳴れる,鳴れ
なさる,なさる,to do,godan,t,なさらない,なさります,なされば,なさろう,なさって,なさった,なさらなかった,なさられる,なさらせる,なされる,なされ
悩む,なやむ,"to be worried, to suffer",godan,i,悩まない,悩みます,悩めば,悩もう,悩んで,悩んだ,悩まなかった,悩まれる,悩ませる,悩める,悩め
なぞる,なぞる,to trace,godan,t,なぞらない,なぞります,なぞれば,なぞろう,なぞって,なぞった,なぞらなかった,なぞられる,なぞらせる,なぞれる,なぞれ
ねだる,ねだる,to pester,godan,t,ねだらない,ねだります,ねだれば,ねだろう,ねだって,ねだった,ねだらなかった,ねだられる,ねだらせる,ねだれる,ねだれ
願う,ねがう,"to desire, to wish, to hope",godan,t,願わない,願います,願えば,願おう,願って,願った,願わなかった,願われる,願わせる,願える,願え
ねじる,ねじる,"to twist, to wrench",godan,t,ねじらない,ねじります,ねじれば,ねじろう,ねじって,ねじった,ねじらなかった,ねじられる,ねじらせる,ねじれる,ねじれ
眠る,ねむる,to sleep,godan,i,眠らない,眠ります,眠れば,眠ろう,眠って,眠った,眠らなかった,眠られる,眠らせる,眠れる,眠れ
狙う,ねらう,to aim,godan,t,狙わない,狙います,狙えば,狙おう,狙って,狙った,狙わなかった,狙われる,狙わせる,狙える,狙え
似合う,にあう,"to suit, to match well",godan,i,似合わない,似合います,似合えば,似合おう,似合って,似合った,似合わなかった,似合われる,似合わせる,似合える,似合え
鈍る,にぶる,to become dull,godan,i,鈍らない,鈍ります,鈍れば,鈍ろう,鈍って,鈍った,鈍らなかった,鈍られる,鈍らせる,鈍れる,鈍れ
逃す,にがす,"to let loose, to let escape",godan,i,逃さない,逃します,逃せば,逃そう,逃して,逃した,逃さなかった,逃される,逃させる,逃せる,逃せ
握る,にぎる,"to grasp, to clasp",godan,t,握らない,握ります,握れば,握ろう,握って,握った,握らなかった,握られる,握らせる,握れる,握れ
にぎわう,にぎわう,to prosper,godan,i,にぎわわない,にぎわいます,にぎわえば,にぎわおう,にぎわって,にぎわった,にぎわわなかった,にぎわわれる,にぎわわせる,にぎわえる,にぎわえ
濁る,にごる,to get muddy,godan,i,濁らない,濁ります,濁れば,濁ろう,濁って,濁った,濁らなかった,濁られる,濁らせる,濁れる,濁れ
憎む,にくむ,to hate,godan,t,憎まない,憎みます,憎めば,憎もう,憎んで,憎んだ,憎まなかった,憎まれる,憎ませる,憎める,憎め
におう,におう,to smell,godan,i,におわない,においます,におえば,におおう,におって,におった,におわなかった,におわれる,におわせる,におえる,におえ
